industry,post_count,avg_engagement_score,avg_comments_count
General/Unspecified,48,2.8333333333333335,2.0625
Hardware/Semiconductor,45,1.6,0.8444444444444444
Gaming/Entertainment,30,12.2,1.9
FAANG/Big Tech,30,1.3666666666666667,0.7666666666666667
FinTech/Finance,16,8.8125,2.1875
Enterprise/Legacy,13,1.0769230769230769,0.46153846153846156
Consulting/Services,9,35.77777777777778,4.111111111111111
Established Tech,3,1.3333333333333333,0.3333333333333333
Early Stage Startup,2,1.0,0.0
Healthcare/Biotech,1,1.0,0.0
Defense/Government,1,1.0,0.0
Unicorn Startup,1,1.0,0.0
