topic,sentiment,count
Big Tech,Positive,15
Big Tech,Neutral,15
Big Tech,Negative,1
Challenges,Negative,6
Compensation,Neutral,7
Compensation,Positive,7
Compensation,Negative,1
Education,Neutral,11
Education,Positive,4
General,Neutral,44
Internship,Positive,30
Internship,Neutral,1
Interview Prep,Neutral,31
Interview Prep,Positive,11
Interview Prep,Negative,2
Job Search,Neutral,14
Job Search,Positive,8
Resume/Profile,Neutral,5
Resume/Profile,Positive,5
Seeking Advice,Neutral,27
Seeking Advice,Positive,6
Seeking Advice,Negative,1
