topic,post_count,avg_score,avg_comments
Interview Prep,44,1.6136363636363635,1.4545454545454546
General,41,9.24390243902439,1.4146341463414633
Internship,30,4.2,1.6666666666666667
Seeking Advice,30,1.7666666666666666,1.0666666666666667
Big Tech,28,1.3928571428571428,0.8214285714285714
Job Search,19,8.052631578947368,2.736842105263158
Compensation,18,2.2222222222222223,2.888888888888889
Education,14,1.2142857142857142,0.07142857142857142
Challenges,6,1.1666666666666667,0.6666666666666666
Resume/Profile,2,0.5,1.0
